FullName,University,JoinYear,SubField,Bachelors,Doctorate
Neeraj Mittal,University of Texas at Dallas,2002,Computer Networks,Indian Institute of Technology Delhi,University of Texas at Austin
Nicholas Ruozzi,University of Texas at Dallas,2015,Computer Graphics,Cornell University,Yale University
Ovidiu Daescu,University of Texas at Dallas,2000,Comp. Bio & Bioinformatics,Bolivarian Military Technical Academy,University of Notre Dame
Paul A. Fishwick,University of Texas at Dallas,2013,Simulation,Pennsylvania State University,University of Pennsylvania
R. Chandrasekaran,University of Texas at Dallas,,Scientific Computing,Indian Institute of Technology Kanpur,"University of California, Berkeley"
Ravi Prakash,University of Texas at Dallas,2012,Mobile Computing,Indian Institute of Technology Delhi,Ohio State University
Rym Wenkstern,University of Texas at Dallas,2012,Computer Education,Tunis University,University of Ottawa
S. Q. Zheng,University of Texas at Dallas,2002,Computer Networks,Jilin University,"University of California, Santa Barbara"
Sanda M. Harabagiu,University of Texas at Dallas,2002,Natural Language Processing,Politehnica University of Bucharest,University of Southern California
Sergey Bereg,University of Texas at Dallas,2002,Comp. Bio & Bioinformatics,South Ural State University,Institute Of Technology Of Metals
Shiyi Wei,University of Texas at Dallas,2017,Computer Education,Shanghai Jiao Tong University,Virginia Tech
Shuang Hao,University of Texas at Dallas,,Economics & Computation,,Georgia Institute of Technology
Simeon C. Ntafos,University of Texas at Dallas,1979,Computer Graphics,Wilkes University,Northwestern University
Sriraam Natarajan,University of Texas at Dallas,2017,Artificial Intelligence,University of Madras,Oregon State University
Subbayyan Venkatesan,University of Texas at Dallas,1995,Computer Networks,Indian Institute of Technology Madras,University of Pittsburgh
Tien N. Nguyen,University of Texas at Dallas,2016,Machine Learning & Data Mining,Ho Chi Minh City University of Technology and Education,University of Wisconsin-Madison
Vibhav Gogate,University of Texas at Dallas,2011,Machine Learning & Data Mining,University of Mumbai,"University of California, Irvine"
Vincent Ng,University of Texas at Dallas,2004,Natural Language Processing,Carnegie Mellon University,Cornell University
W. Eric Wong,University of Texas at Dallas,2004,Software Engineering,Eastern Michigan University,Purdue University
Wei Yang,University of Texas at Dallas,2018,Software Engineering,Shanghai Jiao Tong University,University of Illinois at Urbana-Champaign
Weili Wu,University of Texas at Dallas,2011,Comp. Bio & Bioinformatics,University of Wisconsin-Madison,University of Minnesota
Xiaohu Guo,University of Texas at Dallas,2006,Computer Graphics,University of Science and Technology of China,Stony Brook University
Yang Liu,University of Texas at Dallas,2005,Natural Language Processing,Tsinghua University,Purdue University
Yvo Desmedt,University of Texas at Dallas,2012,Computer Education,,Katholieke Universiteit Leuven
Zhiqiang Lin,University of Texas at Dallas,2011,Computer Security,University of Texas at Dallas,Purdue University
Zygmunt J. Haas,University of Texas at Dallas,2013,Computer Networks,Technion - Israel Institute of Technology,Stanford University
Alan M. Moses,University of Toronto,2007,Comp. Bio & Bioinformatics,Columbia University,"University of California, Berkeley"
Alec Jacobson,University of Toronto,2016,Algorithms & Complexity,New York University,ETH Zurich
Aleksandar Nikolov,University of Toronto,2015,Computer Education,Saint Peter's University,Rutgers University
Alex Mihailidis,University of Toronto,,,,
Allan Borodin,University of Toronto,1969,Algorithms & Complexity,Rutgers University,Cornell University
Allan D. Jepson,University of Toronto,1982,Computer Vision,University of British Columbia,California Institute of Technology
Alán Aspuru-Guzik,University of Toronto,2018,Machine Learning & Data Mining,National Autonomous University of Mexico,"University of California, Berkeley"
Angela Demke Brown,University of Toronto,2005,Operating Systems,University of York,Carnegie Mellon University
Angela K. Demke,University of Toronto,2008,Programming Languages,University of York,Carnegie Mellon University
Animesh Garg,University of Toronto,2019,Robotics,University of Delhi,"University of California, Berkeley"
Anna Goldenberg,University of Toronto,2010,Machine Learning & Data Mining,University of Louisville,Carnegie Mellon University
Anthony J. Bonner,University of Toronto,1991,Machine Learning & Data Mining,University of Toronto,Rutgers University
Ashton Anderson,University of Toronto,2017,Computer Education,McGill University,Stanford University
Ashvin Goel,University of Toronto,2005,Software Engineering,Indian Institute of Technology Kanpur,Oregon Graduate Center
Azadeh Farzan,University of Toronto,2008,Programming Languages,,University of Illinois at Urbana-Champaign
Baochun Li,University of Toronto,2006,Computer Networks,Tsinghua University,University of Illinois at Urbana-Champaign
Benjamin Rossman,University of Toronto,,Computer Education,,Massachusetts Institute of Technology
Bianca Schroeder,University of Toronto,2008,Computer Architecture,University of Tehran,Carnegie Mellon University
Bogdan Simion,University of Toronto,2015,Computer Education,Politehnica University of Bucharest,University of Toronto
Brendan J. Frey,University of Toronto,2001,Comp. Bio & Bioinformatics,University of Calgary,University of Toronto
Christina C. Christara,University of Toronto,1988,Scientific Computing,Aristotle University of Thessaloniki,Purdue University
Cosmin Munteanu,University of Toronto,2010,Natural Language Processing,Politehnica University of Timișoara,University of Toronto
Craig Boutilier,University of Toronto,1999,Artificial Intelligence,Dalhousie University,University of Toronto
Cristiana Amza,University of Toronto,2005,Databases,Politehnica University of Bucharest,Rice University
Daniel J. Wigdor,University of Toronto,2011,Computer Education,University of Toronto,University of Toronto
Daniel M. Roy,University of Toronto,2014,Machine Learning & Data Mining,Massachusetts Institute of Technology,Massachusetts Institute of Technology
David Duvenaud,University of Toronto,2016,Machine Learning & Data Mining,,University of Cambridge
David I. W. Levin,University of Toronto,2016,Computer Graphics,University of Toronto,University of British Columbia
David J. Fleet,University of Toronto,1983,Computer Vision,Queen's University,University of Toronto
David Lie,University of Toronto,2003,Software Engineering,University of Toronto,Stanford University
David Liu,University of Toronto,2015,Scientific Computing,University of Waterloo,
Derek G. Corneil,University of Toronto,1964,Algorithms & Complexity,Queen's University,University of Toronto
Diane Horton,University of Toronto,1993,Computer Education,University of Western Ontario,
Ding Yuan,University of Toronto,,,,
E.C.R.Hehner,University of Toronto,1974,Programming Languages,Carleton University,University of Toronto
Eric S. K. Yu,University of Toronto,1995,Software Engineering,University of Toronto,University of Toronto
Eyal de Lara,University of Toronto,2002,High-Performance Computing,Monterrey Institute of Technology and Higher Education,Rice University
Fahiem Bacchus,University of Toronto,2006,Artificial Intelligence,,University of Alberta
Faith Ellen,University of Toronto,1986,High-Performance Computing,University of Waterloo,"University of California, Berkeley"
Fan Long,University of Toronto,2018,Programming Languages,Tsinghua University,Massachusetts Institute of Technology
Fanny Chevalier,University of Toronto,2018,Human-Computer Interaction,University of Bordeaux,University of Bordeaux
Florian Shkurti,University of Toronto,2018,Robotics,University of Toronto,McGill University
Frank Rudzicz,University of Toronto,2018,Comp. Bio & Bioinformatics,Concordia University,University of Toronto
François Pitt,University of Toronto,2000,Computer Education,Université Laval,University of Toronto
Frederick P. Roth,University of Toronto,2012,Comp. Bio & Bioinformatics,"University of California, Berkeley",Harvard University
Gary Baumgartner,University of Toronto,,Computer Education,,
Gary D. Bader,University of Toronto,2006,Comp. Bio & Bioinformatics,McGill University,University of Toronto
Gennady Pekhimenko,University of Toronto,2017,,Tavrida National V.I. Vernadsky University,Carnegie Mellon University
Geoffrey Hinton,University of Toronto,1987,Artificial Intelligence,University of Cambridge,University of Edinburgh
Gerald Penn,University of Toronto,,Natural Language Processing,,University of Toronto
Graeme Hirst,University of Toronto,1984,Natural Language Processing,Monash University,Brown University
Iftekhar Ahmed,University of Toronto,2017,Computer Education,Bangladesh University of Engineering and Technology,Cornell University
J. Christopher Beck,University of Toronto,,,,
Jaqueline Smith,University of Toronto,2015,Scientific Computing,University of Alberta,
Jennifer Campbell,University of Toronto,2008,Programming Languages,University of Prince Edward Island,
Jessica Burgner-Kahrs,University of Toronto,2020,Robotics,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology
Jimmy Ba,University of Toronto,2018,Algorithms & Complexity,University of Toronto,University of Toronto
Joseph Jay Williams,University of Toronto,2018,Human-Computer Interaction,University of Toronto,"University of California, Berkeley"
